Resume,Field,Expected,Extracted,Match,Notes
resume_03_cloud_architect.txt,candidate_full_name,Michael Chen,MICHAEL CHEN,YES,
resume_03_cloud_architect.txt,current_location,"London, United Kingdom","London, United Kingdom",YES,
resume_03_cloud_architect.txt,gender,None,,YES,Correctly null/empty
resume_03_cloud_architect.txt,email_ids,['michael.chen@gmail.com'],['michael.chen@gmail.com'],YES,
resume_03_cloud_architect.txt,phones,['+44-7700-900456'],['+44-7700-900456'],YES,
resume_03_cloud_architect.txt,total_experience_years,10,10.0,YES,
resume_03_cloud_architect.txt,key_skills,"['Azure', 'AWS', 'Kubernetes', 'Docker', 'Terraform', 'Python', 'Go']","['Azure Architecture', 'AWS Solutions Design', 'Kubernetes', 'Docker', 'Terraform', 'Infrastructure as Code', 'CI/CD Pipelines', 'DevOps', 'Microservices', 'Serverless Computing', 'Python', 'Go', 'Bash', 'PowerShell', 'Networking', 'Security', 'Cost Optimization', 'Team Leadership']",YES,
resume_03_cloud_architect.txt,work_experience,4,4,YES,
resume_03_cloud_architect.txt,education,2,2,YES,
resume_03_cloud_architect.txt,certifications,"['AWS Solutions Architect Professional', 'CKA']","['AWS Solutions Architect Professional', 'Microsoft Certified: Azure Solutions Architect Expert (AZ-305)', 'Certified Kubernetes Administrator (CKA)', 'HashiCorp Certified: Terraform Associate', 'TOGAF 9 Certified']",YES,
resume_03_cloud_architect.txt,languages_known,"['English', 'Mandarin', 'Cantonese']","['English', 'Mandarin', 'Cantonese']",YES,
resume_04_ux_designer.txt,candidate_full_name,Maria Garcia Lopez,Maria Garcia Lopez,YES,
resume_04_ux_designer.txt,current_location,"Barcelona, Spain","Barcelona, Spain",YES,
resume_04_ux_designer.txt,gender,None,,YES,Correctly null/empty
resume_04_ux_designer.txt,email_ids,['maria.garcia@email.com'],['maria.garcia@email.com'],YES,
resume_04_ux_designer.txt,phones,['+34 612 345 678'],['+34 612 345 678'],YES,
resume_04_ux_designer.txt,total_experience_years,3,3.0,YES,
resume_04_ux_designer.txt,key_skills,"['Figma', 'React', 'Vue.js', 'JavaScript', 'CSS3', 'HTML5']","['Figma', 'Adobe XD', 'Sketch', 'HTML5', 'CSS3', 'JavaScript', 'React', 'Vue.js', 'Tailwind CSS', 'User Research', 'Wireframing', 'Prototyping', 'Design Systems', 'Accessibility (WCAG)', 'Responsive Design']",YES,
resume_04_ux_designer.txt,work_experience,2,2,YES,
resume_04_ux_designer.txt,education,1,3,YES,
resume_04_ux_designer.txt,languages_known,"['Spanish', 'Catalan', 'English', 'Portuguese']","['Spanish', 'Catalan', 'English', 'Portuguese']",YES,
resume_05_fullstack_dev.txt,candidate_full_name,Rajesh Kumar Patel,Rajesh Kumar Patel,YES,
resume_05_fullstack_dev.txt,current_location,"Bangalore, Karnataka, India","Bangalore, Karnataka, India",YES,
resume_05_fullstack_dev.txt,linkedin_url,https://linkedin.com/in/rajeshpatel,https://linkedin.com/in/rajeshpatel,YES,
resume_05_fullstack_dev.txt,gender,Male,Male,YES,
resume_05_fullstack_dev.txt,email_ids,['rajesh.patel@email.com'],['rajesh.patel@email.com'],YES,
resume_05_fullstack_dev.txt,phones,['+91-9876543210'],['+91-9876543210'],YES,
resume_05_fullstack_dev.txt,total_experience_years,6,6.0,YES,
resume_05_fullstack_dev.txt,key_skills,"['Java', 'Spring Boot', 'Angular', 'React', 'Python', 'SQL', 'Docker']","['Java', 'JavaScript', 'TypeScript', 'Python', 'SQL', 'Spring Boot', 'Spring MVC', 'Angular', 'React', 'MySQL', 'PostgreSQL', 'Oracle', 'MongoDB', 'Git', 'Maven', 'Jenkins', 'Docker', 'SonarQube', 'AWS', 'Azure', 'JUnit', 'Mockito', 'Selenium', 'Jasmine', 'Agile', 'Scrum', 'Waterfall']",YES,
resume_05_fullstack_dev.txt,work_experience,3,3,YES,
resume_05_fullstack_dev.txt,education,1,2,YES,
resume_05_fullstack_dev.txt,certifications,"['Oracle Certified Professional', 'AWS Certified Developer']","['Oracle Certified Professional: Java SE 11 Developer', 'AWS Certified Developer - Associate', 'Certified ScrumMaster (CSM)']",YES,
resume_05_fullstack_dev.txt,languages_known,"['English', 'Hindi', 'Kannada', 'Gujarati']","['English', 'Hindi', 'Kannada', 'Gujarati']",YES,
resume_06_project_manager.txt,candidate_full_name,Emily Watson,Emily Watson,YES,
resume_06_project_manager.txt,current_location,"Denver, Colorado","Denver, Colorado",YES,
resume_06_project_manager.txt,gender,None,,YES,Correctly null/empty
resume_06_project_manager.txt,email_ids,['emily.watson92@gmail.com'],['emily.watson92@gmail.com'],YES,
resume_06_project_manager.txt,phones,['1-303-555-0147'],['1-303-555-0147'],YES,
resume_06_project_manager.txt,total_experience_years,8,8.0,YES,
resume_06_project_manager.txt,key_skills,"['Power Automate', 'Power Apps', 'Power BI', 'Jira', 'Azure DevOps']","['PMP', 'Agile', 'Scrum', 'Kanban', 'PRINCE2', 'Risk Management', 'Budgeting', 'Requirements Gathering', 'User Stories', 'Process Mapping', 'Gap Analysis', 'Jira', 'Confluence', 'Azure DevOps', 'Microsoft Project', 'SharePoint', 'Power BI', 'Power Automate', 'Power Apps', 'Copilot Studio', 'Dataverse', 'SQL', 'Python (basic)', 'Excel (advanced)', 'Visio']",YES,
resume_06_project_manager.txt,work_experience,3,3,YES,
resume_06_project_manager.txt,education,2,2,YES,
resume_06_project_manager.txt,certifications,"['PMP', 'CSM', 'PL-900']","['Project Management Professional (PMP)', 'Certified ScrumMaster (CSM)', 'Microsoft Certified: Power Platform Fundamentals (PL-900)', 'ITIL Foundation v4']",YES,
resume_06_project_manager.txt,languages_known,['English'],['English'],YES,
resume_07_ml_engineer.txt,candidate_full_name,Alex Kim,Alex Kim,YES,
resume_07_ml_engineer.txt,current_location,"Seoul, South Korea","Seoul, South Korea",YES,
resume_07_ml_engineer.txt,linkedin_url,https://linkedin.com/in/alexkim-ml,https://linkedin.com/in/alexkim-ml,YES,
resume_07_ml_engineer.txt,github_url,https://github.com/alexkim-ml,https://github.com/alexkim-ml,YES,
resume_07_ml_engineer.txt,gender,None,,YES,Correctly null/empty
resume_07_ml_engineer.txt,email_ids,['alex.kim@protonmail.com'],['alex.kim@protonmail.com'],YES,
resume_07_ml_engineer.txt,phones,['+82-10-1234-5678'],['+82-10-1234-5678'],YES,
resume_07_ml_engineer.txt,total_experience_years,5,5.0,YES,
resume_07_ml_engineer.txt,key_skills,"['PyTorch', 'TensorFlow', 'Python', 'Kubernetes', 'Docker']","['PyTorch', 'TensorFlow', 'scikit-learn', 'Hugging Face', 'ONNX', 'Transformers', 'BERT', 'GPT', 'spaCy', 'NLTK', 'Sentiment Analysis', 'NER', 'OpenCV', 'YOLO', 'ResNet', 'Image Segmentation', 'pandas', 'NumPy', 'Apache Spark', 'Airflow', 'dbt', 'MLflow', 'Kubeflow', 'Docker', 'Kubernetes', 'CI/CD', 'AWS SageMaker', 'Azure ML', 'GCP Vertex AI', 'Python', 'R', 'SQL', 'Java', 'Scala', 'matplotlib', 'seaborn', 'Plotly', 'Streamlit']",YES,
resume_07_ml_engineer.txt,work_experience,3,3,YES,
resume_07_ml_engineer.txt,education,2,2,YES,
resume_07_ml_engineer.txt,certifications,['AWS Machine Learning Specialty'],"['AWS Machine Learning Specialty', 'Google Professional Machine Learning Engineer', 'Deep Learning Specialization (Coursera - Andrew Ng)', 'TensorFlow Developer Certificate']",YES,
resume_07_ml_engineer.txt,languages_known,"['Korean', 'English', 'Japanese']","['Korean', 'English', 'Japanese']",YES,
resume_08_fresh_graduate.txt,candidate_full_name,Priya Sharma,Priya Sharma,YES,
resume_08_fresh_graduate.txt,current_location,"New Delhi, India","New Delhi, India",YES,
resume_08_fresh_graduate.txt,gender,None,,YES,Correctly null/empty
resume_08_fresh_graduate.txt,email_ids,['priya.sharma24@gmail.com'],['priya.sharma24@gmail.com'],YES,
resume_08_fresh_graduate.txt,phones,['+91-8765432109'],['+91-8765432109'],YES,
resume_08_fresh_graduate.txt,total_experience_years,0,0.5,YES,
resume_08_fresh_graduate.txt,key_skills,"['Python', 'Java', 'C++', 'JavaScript', 'React', 'Django']","['Python', 'Java', 'C++', 'JavaScript', 'React', 'Node.js', 'Django', 'SQL', 'MongoDB', 'Git', 'Docker', 'Linux', 'Machine Learning basics', 'Data Structures and Algorithms']",YES,
resume_08_fresh_graduate.txt,work_experience,3,3,YES,
resume_08_fresh_graduate.txt,education,1,1,YES,
resume_08_fresh_graduate.txt,languages_known,"['English', 'Hindi']","['English', 'Hindi']",YES,
resume_08_fresh_graduate.txt,github_url,priyasharma,github.com/priyasharma-dev,YES,
resume_09_devops_sre.txt,candidate_full_name,James O'Brien,JAMES O'BRIEN,YES,
resume_09_devops_sre.txt,current_location,"San Jose, CA, USA","San Jose, CA, USA",YES,
resume_09_devops_sre.txt,linkedin_url,https://linkedin.com/in/jamesobrien-sre,https://linkedin.com/in/jamesobrien-sre,YES,
resume_09_devops_sre.txt,github_url,https://github.com/jobrien-devops,https://github.com/jobrien-devops,YES,
resume_09_devops_sre.txt,gender,None,,YES,Correctly null/empty
resume_09_devops_sre.txt,email_ids,['james.obrien@devops.io'],['james.obrien@devops.io'],YES,
resume_09_devops_sre.txt,phones,['+1 (415) 555-2847'],['+1 (415) 555-2847'],YES,
resume_09_devops_sre.txt,total_experience_years,9,9.0,YES,
resume_09_devops_sre.txt,key_skills,"['Terraform', 'Kubernetes', 'Docker', 'AWS', 'Python', 'Go']","['Terraform', 'Ansible', 'CloudFormation', 'Pulumi', 'Docker', 'Kubernetes', 'Helm', 'Istio', 'ECS', 'Jenkins', 'GitHub Actions', 'GitLab CI', 'ArgoCD', 'Spinnaker', 'AWS', 'Azure', 'GCP', 'Prometheus', 'Grafana', 'Datadog', 'PagerDuty', 'ELK Stack', 'Python', 'Bash', 'Go', 'PowerShell', 'PostgreSQL', 'MySQL', 'Redis', 'DynamoDB', 'Elasticsearch', 'TCP/IP', 'DNS', 'Load Balancing', 'CDN', 'VPN', 'Firewall', 'IAM', 'Vault', 'WAF', 'SSL/TLS', 'SAST/DAST', 'SRE', 'DevOps', 'GitOps', 'Infrastructure as Code']",YES,
resume_09_devops_sre.txt,work_experience,4,4,YES,
resume_09_devops_sre.txt,education,1,1,YES,
resume_09_devops_sre.txt,certifications,"['CKA', 'CKS', 'AWS Solutions Architect Professional']","['AWS Solutions Architect Professional', 'Certified Kubernetes Administrator (CKA)', 'Certified Kubernetes Security Specialist (CKS)', 'HashiCorp Certified: Terraform Associate', 'Google Cloud Professional DevOps Engineer', 'Linux Foundation Certified System Administrator (LFCS)']",YES,
resume_09_devops_sre.txt,languages_known,"['English', 'Irish']","['English', 'Irish']",YES,
resume_10_cybersecurity.txt,candidate_full_name,Aisha Okafor,"Dr. Aisha Okafor, PhD",YES,
resume_10_cybersecurity.txt,current_location,"Lagos, Nigeria","Lagos, Nigeria",YES,
resume_10_cybersecurity.txt,linkedin_url,https://linkedin.com/in/aishaokafor,https://linkedin.com/in/aishaokafor,YES,
resume_10_cybersecurity.txt,github_url,https://github.com/aisha-security,https://github.com/aisha-security,YES,
resume_10_cybersecurity.txt,gender,None,,YES,Correctly null/empty
resume_10_cybersecurity.txt,email_ids,['aisha.okafor@securitylab.org'],['aisha.okafor@securitylab.org'],YES,
resume_10_cybersecurity.txt,phones,['+234-802-123-4567'],['+234-802-123-4567'],YES,
resume_10_cybersecurity.txt,total_experience_years,12,12.0,YES,
resume_10_cybersecurity.txt,key_skills,"['Penetration Testing', 'Python', 'SIEM', 'Burp Suite']","['Penetration Testing', 'Vulnerability Assessment', 'SIEM', 'Incident Response', 'Malware Analysis', 'Reverse Engineering', 'Network Security', 'Application Security', 'Cloud Security', 'Identity & Access Management', 'Zero Trust Architecture', 'NIST Framework', 'ISO 27001', 'GDPR Compliance', 'Risk Assessment', 'Threat Modeling', 'Python', 'C', 'Assembly', 'PowerShell', 'Wireshark', 'Burp Suite', 'Metasploit', 'Nmap', 'IDA Pro']",YES,
resume_10_cybersecurity.txt,work_experience,4,4,YES,
resume_10_cybersecurity.txt,education,3,3,YES,
resume_10_cybersecurity.txt,certifications,"['OSCP', 'CISSP', 'CEH']","['OSCP (Offensive Security Certified Professional)', 'CISSP (Certified Information Systems Security Professional)', 'CREST Registered Penetration Tester', 'CEH (Certified Ethical Hacker)', 'AWS Security Specialty', 'GIAC Security Essentials (GSEC)']",YES,
resume_10_cybersecurity.txt,languages_known,"['English', 'Yoruba', 'French', 'Arabic']","['English', 'Yoruba', 'French', 'Arabic']",YES,
resume_11_missing_phone.txt,candidate_full_name,Daniela Rossi,DANIELA ROSSI,YES,
resume_11_missing_phone.txt,current_location,"Milan, Italy","Milan, Italy",YES,
resume_11_missing_phone.txt,linkedin_url,https://linkedin.com/in/danielarossi,https://linkedin.com/in/danielarossi,YES,
resume_11_missing_phone.txt,gender,None,,YES,Correctly null/empty
resume_11_missing_phone.txt,email_ids,['daniela.rossi@email.com'],['daniela.rossi@email.com'],YES,
resume_11_missing_phone.txt,phones,[],[],YES,
resume_11_missing_phone.txt,total_experience_years,4,4.0,YES,
resume_11_missing_phone.txt,key_skills,"['Figma', 'Sketch', 'Adobe XD', 'HTML5', 'CSS3', 'React']","['Figma', 'Sketch', 'Adobe XD', 'InVision', 'Miro', 'HTML5', 'CSS3', 'JavaScript', 'React', 'User Research', 'Usability Testing', 'Design Systems', 'Wireframing', 'Prototyping', 'Accessibility (WCAG)', 'Information Architecture']",YES,
resume_11_missing_phone.txt,work_experience,2,2,YES,
resume_11_missing_phone.txt,education,2,2,YES,
resume_11_missing_phone.txt,certifications,['Google UX Design'],"['Google UX Design Professional Certificate', 'Interaction Design Foundation – UX Management']",YES,
resume_12_multiple_emails.txt,candidate_full_name,Ahmed Al-Rashidi,AHMED AL-RASHIDI,YES,
resume_12_multiple_emails.txt,current_location,"Riyadh, Saudi Arabia","Riyadh, Saudi Arabia",YES,
resume_12_multiple_emails.txt,linkedin_url,https://linkedin.com/in/ahmedrashidi,https://linkedin.com/in/ahmedrashidi,YES,
resume_12_multiple_emails.txt,github_url,https://github.com/arashidi,https://github.com/arashidi,YES,
resume_12_multiple_emails.txt,gender,None,,YES,Correctly null/empty
resume_12_multiple_emails.txt,email_ids,"['ahmed.rashidi@techcorp.com', 'ahmed.r@gmail.com', 'a.rashidi@alumni.kaust.edu.sa']","['ahmed.rashidi@techcorp.com', 'ahmed.r@gmail.com', 'a.rashidi@alumni.kaust.edu.sa']",YES,
resume_12_multiple_emails.txt,phones,"['+966 55 123 4567', '+966 50 987 6543']","['+966 55 123 4567', '+966 50 987 6543']",YES,
resume_12_multiple_emails.txt,total_experience_years,6,6.0,YES,
resume_12_multiple_emails.txt,key_skills,"['Python', 'SQL', 'Spark', 'Kafka', 'Airflow', 'AWS', 'Azure']","['Python', 'SQL', 'Scala', 'Apache Spark', 'Apache Kafka', 'Apache Airflow', 'AWS (Redshift, Glue, S3, Lambda, EMR)', 'Azure (Synapse, Data Factory, Databricks, Event Hubs)', 'GCP (BigQuery, Dataflow)', 'PostgreSQL', 'MongoDB', 'Hadoop', 'Hive', 'dbt', 'Great Expectations', 'Docker', 'Kubernetes', 'Terraform', 'CI/CD', 'Git', 'Linux', 'Data Modeling', 'ETL/ELT', 'Data Governance']",YES,
resume_12_multiple_emails.txt,work_experience,3,3,YES,
resume_12_multiple_emails.txt,education,2,2,YES,
resume_12_multiple_emails.txt,certifications,"['AWS Certified Data Analytics', 'DP-203']","['AWS Certified Data Analytics – Specialty', 'Microsoft Certified: Azure Data Engineer Associate (DP-203)', 'Databricks Certified Data Engineer Professional', 'Google Cloud Professional Data Engineer']",YES,
resume_13_table_format.txt,candidate_full_name,Lisa Andersson,LISA ANDERSSON,YES,
resume_13_table_format.txt,current_location,"Stockholm, Sweden","Stockholm, Sweden",YES,
resume_13_table_format.txt,linkedin_url,https://linkedin.com/in/lisaandersson,https://linkedin.com/in/lisaandersson,YES,
resume_13_table_format.txt,gender,None,,YES,Correctly null/empty
resume_13_table_format.txt,email_ids,['lisa.andersson@outlook.com'],['lisa.andersson@outlook.com'],YES,
resume_13_table_format.txt,phones,['+46 70 123 4567'],['+46 70 123 4567'],YES,
resume_13_table_format.txt,total_experience_years,9,9.0,YES,
resume_13_table_format.txt,key_skills,"['Agile', 'Jira', 'Confluence', 'Power BI', 'SAFe']","['Program Management', 'Agile (SAFe 5.0, Scrum, Kanban)', 'Jira', 'Confluence', 'MS Project', 'Power BI', 'Stakeholder Management', 'Risk Management', 'Budget Management', 'Vendor Management', 'CI/CD', 'Cloud (AWS, Azure, GCP)', 'OKRs', 'Release Management', 'Incident Management', 'ITIL']",YES,
resume_13_table_format.txt,work_experience,3,3,YES,
resume_13_table_format.txt,education,2,2,YES,
resume_13_table_format.txt,certifications,"['PMP', 'CSM', 'SPC']","['SAFe 5 Program Consultant (SPC)', 'PMP (Project Management Professional)', 'Certified Scrum Master (CSM)', 'ITIL Foundation v4', 'AWS Cloud Practitioner']",YES,
resume_14_two_column.txt,candidate_full_name,Carlos Mendes,CARLOS MENDES,YES,
resume_14_two_column.txt,current_location,"São Paulo, SP, Brazil","São Paulo, SP, Brazil",YES,
resume_14_two_column.txt,gender,None,,YES,Correctly null/empty
resume_14_two_column.txt,email_ids,['carlos.mendes@email.com'],['carlos.mendes@email.com'],YES,
resume_14_two_column.txt,phones,['+55 11 98765-4321'],['+55 11 98765-4321'],YES,
resume_14_two_column.txt,total_experience_years,5,5.0,YES,
resume_14_two_column.txt,key_skills,"['JavaScript', 'TypeScript', 'Python', 'React', 'Node.js', 'Docker']","['JavaScript', 'TypeScript', 'Python', 'Go', 'SQL', 'React', 'Next.js', 'Vue.js', 'Angular', 'Tailwind CSS', 'Material UI', 'Node.js', 'Express', 'NestJS', 'Django', 'FastAPI', 'GraphQL', 'PostgreSQL', 'MongoDB', 'Redis', 'Elasticsearch', 'DynamoDB', 'Docker', 'Kubernetes', 'AWS', 'GCP', 'Terraform', 'GitHub Actions', 'Jenkins', 'Jest', 'Cypress', 'Pytest', 'Playwright']",YES,
resume_14_two_column.txt,work_experience,3,3,YES,
resume_14_two_column.txt,education,1,1,YES,
resume_14_two_column.txt,certifications,['AWS Solutions Architect'],"['AWS Solutions Architect Associate', 'Meta Front-End Developer', 'MongoDB Certified Developer']",YES,
resume_15_multipage.txt,candidate_full_name,Victoria Blackwood,"VICTORIA BLACKWOOD, Ph.D.",YES,
resume_15_multipage.txt,current_location,"Cambridge, United Kingdom","Cambridge, United Kingdom",YES,
resume_15_multipage.txt,linkedin_url,https://linkedin.com/in/victoriablackwood,https://linkedin.com/in/victoriablackwood,YES,
resume_15_multipage.txt,github_url,https://github.com/vblackwood,https://github.com/vblackwood,YES,
resume_15_multipage.txt,gender,None,,YES,Correctly null/empty
resume_15_multipage.txt,email_ids,"['victoria.blackwood@outlook.com', 'v.blackwood@techconsult.co.uk']","['victoria.blackwood@outlook.com', 'v.blackwood@techconsult.co.uk']",YES,
resume_15_multipage.txt,phones,['+44 7911 123456'],['+44 7911 123456'],YES,
resume_15_multipage.txt,total_experience_years,15,15.0,YES,
resume_15_multipage.txt,key_skills,"['Java', 'Python', 'Go', 'Kubernetes', 'Kafka', 'AWS', 'Azure']","['Java', 'Python', 'Go', 'C#', 'C++', 'Scala', 'TypeScript', 'OCaml', 'Spring Boot', 'FastAPI', '.NET', 'React', 'NestJS', 'PostgreSQL', 'DynamoDB', 'Cassandra', 'MongoDB', 'Cosmos DB', 'Redis', 'Apache Kafka', 'RabbitMQ', 'Azure Service Bus', 'AWS SQS/SNS', 'AWS', 'Azure', 'GCP', 'Kubernetes', 'Docker', 'Terraform', 'Ansible', 'Helm', 'DataDog', 'Prometheus', 'Grafana', 'PagerDuty', 'ELK Stack', 'Microservices', 'Event-Driven', 'CQRS', 'Domain-Driven Design', 'CI/CD', 'TDD', 'Chaos Engineering', 'Architecture Decision Records']",YES,
resume_15_multipage.txt,work_experience,5,5,YES,
resume_15_multipage.txt,education,2,2,YES,
resume_15_multipage.txt,certifications,"['CKA', 'TOGAF']","['AWS Certified Solutions Architect – Professional', 'Microsoft Certified: Azure Solutions Architect Expert', 'Certified Kubernetes Administrator (CKA)', 'Google Cloud Professional Cloud Architect', 'TOGAF 9.2 Certified Enterprise Architect']",YES,

OVERALL,,,,100.0%,176/176
